"air-brokers-or-charters","Air brokers/air charter"
"air-taxi-operators","Air taxi operators"
"airlines-scheduled","Airlines (scheduled)"
"airport-car-parking","Airport car parking"
"airport-services","Airport services"
"airports","Airports"
"car-rental","Car Rental"
"conference-and-incentive-organisers","Conference & incentive organisers"
"cruise-operators-and-agents","Cruise operators & agents"
"ferry-operators-and-agents","Ferry operators & agents"
"flight-only-and-airline-consolidators","Flight only & airline consolidators"
"hotel","Hotel"
"incoming-tour-operators","Incoming tour operators"
"insurance","Insurance"
"irish-travel-agents-and-organisers","Irish travel agents & organisers"
"on-line-bookable-tour-operators","On-line bookable tour operators"
"on-line-bookable-travel-agents","On-line bookable travel agents"
"representation-companies","Representation Company"
"reservation-offices","Reservation offices"
"technology","Technology"
"tour-operators","Tour operators"
"tourist-boards-national-overseas","Tourist boards - national (Overseas)"
"tourist-boards-national-uk","Tourist boards - national (UK)"
"tourist-boards-regional","Tourist boards - regional"
"trade-associations-and-societies","Trade associations & societies"
"travel-agents","Travel agents"
"travel-and-technology-services","Travel & technology services"
"travel-and-tourism-courses","Travel & tourism courses"
"uk-and-overseas-railways","UK & Overseas railways"
"uk-holiday-operators","UK holiday operators"
"worldwide-attractions-and-ticket-agents","Worldwide attractions & ticket agents"
